Port,Pin,Mode,Pull-Type,Speed
B1_GPIO_Port,B1_Pin,['IT_FALLING'],['GPIO_NOPULL'],[]
LD2_GPIO_Port,LD2_Pin,['OUTPUT_PP'],['GPIO_NOPULL'],['GPIO_SPEED_FREQ_LOW']
GPIOA,BTN_2_Pin,['IT_FALLING'],['GPIO_PULLDOWN'],[]
GPIOA,BTN_3_Pin,['IT_FALLING'],['GPIO_PULLDOWN'],[]
LED_1_GPIO_Port,LED_1_Pin,['OUTPUT_PP'],['GPIO_PULLDOWN'],['GPIO_SPEED_FREQ_LOW']
LED_REC_GPIO_Port,LED_REC_Pin,['OUTPUT_PP'],['GPIO_PULLDOWN'],['GPIO_SPEED_FREQ_LOW']
BTN_REC_GPIO_Port,BTN_REC_Pin,['INPUT'],['GPIO_PULLDOWN'],[]
GPIOB,LED_3_Pin,['OUTPUT_PP'],['GPIO_PULLDOWN'],['GPIO_SPEED_FREQ_LOW']
GPIOB,LED_2_Pin,['OUTPUT_PP'],['GPIO_PULLDOWN'],['GPIO_SPEED_FREQ_LOW']
GPIOB,BTN_STOP_Pin,['IT_FALLING'],['GPIO_PULLDOWN'],[]
GPIOB,BTN_1_Pin,['IT_FALLING'],['GPIO_PULLDOWN'],[]
