Port,Pin,Mode,Pull-Type,Speed
B1_GPIO_Port,B1_Pin,['IT_FALLING'],['GPIO_NOPULL'],[]
GPIOA,LD2_Pin,['OUTPUT_PP'],['GPIO_NOPULL'],['GPIO_SPEED_FREQ_LOW']
GPIOA,LED2_Pin,['OUTPUT_PP'],['GPIO_NOPULL'],['GPIO_SPEED_FREQ_LOW']
LEDRec_GPIO_Port,LEDRec_Pin,['OUTPUT_PP'],['GPIO_NOPULL'],['GPIO_SPEED_FREQ_LOW']
GPIOA,Butt1_Pin,['INPUT'],['GPIO_PULLDOWN'],[]
GPIOA,Butt3_Pin,['INPUT'],['GPIO_PULLDOWN'],[]
GPIOA,Butt2_Pin,['INPUT'],['GPIO_PULLDOWN'],[]
ButtStop_GPIO_Port,ButtStop_Pin,['IT_RISING'],['GPIO_PULLDOWN'],[]
GPIOB,LED3_Pin,['OUTPUT_PP'],['GPIO_NOPULL'],['GPIO_SPEED_FREQ_LOW']
GPIOB,LED1_Pin,['OUTPUT_PP'],['GPIO_NOPULL'],['GPIO_SPEED_FREQ_LOW']
ButtRec_GPIO_Port,ButtRec_Pin,['INPUT'],['GPIO_PULLDOWN'],[]
