Port,Pin,Mode,Pull-Type,Speed
B1_GPIO_Port,B1_Pin,['IT_FALLING'],['GPIO_NOPULL'],[]
GPIOA,LD2_Pin,['OUTPUT_PP'],['GPIO_NOPULL'],['GPIO_SPEED_FREQ_LOW']
GPIOA,LED_3_Pin,['OUTPUT_PP'],['GPIO_NOPULL'],['GPIO_SPEED_FREQ_LOW']
GPIOA,LED_1_Pin,['OUTPUT_PP'],['GPIO_NOPULL'],['GPIO_SPEED_FREQ_LOW']
GPIOA,BUTTON_2_Pin,['IT_RISING'],['GPIO_PULLDOWN'],[]
GPIOA,BUTTON_3_Pin,['IT_RISING'],['GPIO_PULLDOWN'],[]
LED_2_GPIO_Port,LED_2_Pin,['OUTPUT_PP'],['GPIO_NOPULL'],['GPIO_SPEED_FREQ_LOW']
LED_REC_GPIO_Port,LED_REC_Pin,['OUTPUT_PP'],['GPIO_NOPULL'],['GPIO_SPEED_FREQ_LOW']
BUTTON_REC_GPIO_Port,BUTTON_REC_Pin,['INPUT'],['GPIO_PULLDOWN'],[]
GPIOB,BUTTON_STOP_Pin,['IT_RISING'],['GPIO_PULLDOWN'],[]
GPIOB,BUTTON_1_Pin,['IT_RISING'],['GPIO_PULLDOWN'],[]
