Port,Pin,Mode,Pull-Type,Speed
B1_GPIO_Port,B1_Pin,['IT_FALLING'],['GPIO_NOPULL'],[]
GPIOA,LD2_Pin,['OUTPUT_PP'],['GPIO_NOPULL'],['GPIO_SPEED_FREQ_LOW']
GPIOA,LED_REC__Pin,['OUTPUT_PP'],['GPIO_NOPULL'],['GPIO_SPEED_FREQ_LOW']
GPIOA,Button_1__Pin,['INPUT'],['GPIO_PULLDOWN'],[]
GPIOA,Button_3__Pin,['INPUT'],['GPIO_PULLDOWN'],[]
Button_2__GPIO_Port,Button_2__Pin,['INPUT'],['GPIO_PULLDOWN'],[]
GPIOB,LED_3__Pin,['OUTPUT_PP'],['GPIO_NOPULL'],['GPIO_SPEED_FREQ_LOW']
GPIOB,LED_1__Pin,['OUTPUT_PP'],['GPIO_NOPULL'],['GPIO_SPEED_FREQ_LOW']
GPIOB,LED_2__Pin,['OUTPUT_PP'],['GPIO_NOPULL'],['GPIO_SPEED_FREQ_LOW']
GPIOB,Button_STOP__Pin,['INPUT'],['GPIO_PULLDOWN'],[]
GPIOB,Button_REC__Pin,['INPUT'],['GPIO_PULLDOWN'],[]
