Port,Pin,Mode,Pull-Type,Speed
B1_GPIO_Port,B1_Pin,['IT_FALLING'],['GPIO_NOPULL'],[]
GPIOA,btn_REC_Pin,['IT_RISING'],['GPIO_PULLDOWN'],[]
GPIOA,btn_1_Pin,['IT_RISING'],['GPIO_PULLDOWN'],[]
LD2_GPIO_Port,LD2_Pin,['OUTPUT_PP'],['GPIO_NOPULL'],['GPIO_SPEED_FREQ_LOW']
GPIOB,led_D2_Pin,['OUTPUT_PP'],['GPIO_NOPULL'],['GPIO_SPEED_FREQ_LOW']
GPIOB,led_D5_Pin,['OUTPUT_PP'],['GPIO_NOPULL'],['GPIO_SPEED_FREQ_LOW']
GPIOB,led_D4_Pin,['OUTPUT_PP'],['GPIO_NOPULL'],['GPIO_SPEED_FREQ_LOW']
GPIOB,led_D3_Pin,['OUTPUT_PP'],['GPIO_NOPULL'],['GPIO_SPEED_FREQ_LOW']
GPIOB,btn_STOP_Pin,['IT_RISING'],['GPIO_PULLDOWN'],[]
GPIOB,btn_2_Pin,['IT_RISING'],['GPIO_PULLDOWN'],[]
GPIOB,btn_3_Pin,['IT_RISING'],['GPIO_PULLDOWN'],[]
