Port,Pin,Mode,Pull-Type,Speed
B1_GPIO_Port,B1_Pin,['IT_FALLING'],['GPIO_NOPULL'],[]
GPIOA,LD2_Pin,['OUTPUT_PP'],['GPIO_NOPULL'],['GPIO_SPEED_FREQ_LOW']
GPIOA,Slot_1_LED_Pin,['OUTPUT_PP'],['GPIO_NOPULL'],['GPIO_SPEED_FREQ_LOW']
GPIOA,Stop_Button_Pin,['IT_RISING'],['GPIO_PULLDOWN'],[]
GPIOA,Slot_1_Button_Pin,['IT_RISING'],['GPIO_PULLDOWN'],[]
GPIOA,Rec_Button_Pin,['IT_RISING'],['GPIO_PULLDOWN'],[]
GPIOB,Slot_2_LED_Pin,['OUTPUT_PP'],['GPIO_NOPULL'],['GPIO_SPEED_FREQ_LOW']
GPIOB,Slot_3_LED_Pin,['OUTPUT_PP'],['GPIO_NOPULL'],['GPIO_SPEED_FREQ_LOW']
GPIOB,Rec_LED_Pin,['OUTPUT_PP'],['GPIO_NOPULL'],['GPIO_SPEED_FREQ_LOW']
GPIOB,Slot_2_Button_Pin,['IT_RISING'],['GPIO_PULLDOWN'],[]
GPIOB,Slot_3_Button_Pin,['IT_RISING'],['GPIO_PULLDOWN'],[]
