Port,Pin,Mode,Pull-Type,Speed
B1_GPIO_Port,B1_Pin,['IT_FALLING'],['GPIO_NOPULL'],[]
LD2_GPIO_Port,LD2_Pin,['OUTPUT_PP'],['GPIO_NOPULL'],['GPIO_SPEED_FREQ_LOW']
GPIOB,LED_record_Pin,['OUTPUT_PP'],['GPIO_PULLDOWN'],['GPIO_SPEED_FREQ_LOW']
GPIOB,LED_2_Pin,['OUTPUT_PP'],['GPIO_PULLDOWN'],['GPIO_SPEED_FREQ_LOW']
GPIOB,LED_3_Pin,['OUTPUT_PP'],['GPIO_PULLDOWN'],['GPIO_SPEED_FREQ_LOW']
GPIOB,LED_1_Pin,['OUTPUT_PP'],['GPIO_PULLDOWN'],['GPIO_SPEED_FREQ_LOW']
GPIOB,button_record_Pin,['IT_RISING'],['GPIO_NOPULL'],[]
GPIOB,button_stop_Pin,['IT_RISING'],['GPIO_NOPULL'],[]
button_2_GPIO_Port,button_2_Pin,['IT_RISING'],['GPIO_NOPULL'],[]
GPIOA,button_1_Pin,['IT_RISING'],['GPIO_NOPULL'],[]
GPIOA,button_3_Pin,['IT_RISING'],['GPIO_NOPULL'],[]
